# root file_name                                               ; Theory_XS fb;  Event_Number
#/cvmfs/cms.cern.ch/phys_generator/gridpacks/2017/13TeV/madgraph/V5_2.4.2/Triboson/Triboson_M1500_R0.5_slc6_amd64_gcc481_CMSSW_7_1_30_tarball.tar.xz//gridpack_generation.log
M1500_R0-12.root  ; 177.000  ; 50000
M1500_R0-2.root  ; 191.5000  ; 50000
M1500_R0-3.root  ; 186.1000  ; 50000
M1500_R0-4.root  ; 173.4000  ; 50000
M1500_R0-5.root  ; 153.5000  ; 50000
M1500_R0-6.root  ; 123.7000  ; 50000
M1500_R0-7.root  ; 82.35000  ; 50000
M1500_R0-9.root  ; 6.236000  ; 50000
M2000_R0-1.root  ; 45.51000  ; 50000
M2000_R0-2.root  ; 47.38000  ; 50000
M2000_R0-3.root  ; 45.59000  ; 50000
M2000_R0-4.root  ; 42.51000  ; 50000
M2000_R0-5.root  ; 37.68000  ; 50000
M2000_R0-6.root  ; 30.23000  ; 50000
M2000_R0-7.root  ; 20.04000  ; 50000
M2000_R0-9.root  ; 1.53000  ; 50000
M2500_R0-08.root  ; 13.15000  ; 50000
M2500_R0-1.root  ; 13.65000  ; 50000
M2500_R0-2.root  ; 13.69000  ; 50000
M2500_R0-3.root  ; 13.16000  ; 50000
M2500_R0-4.root  ; 12.24000  ; 50000
M2500_R0-5.root  ; 10.84000  ; 50000
M2500_R0-6.root  ; 8.685000  ; 50000
M2500_R0-7.root  ; 5.751000  ; 50000
M2500_R0-9.root  ; .4356000  ; 50000
M3000_R0-06.root  ; 3.934000  ; 50000
M3000_R0-08.root  ; 4.246000  ; 50000
M3000_R0-1.root  ; 4.31000  ; 50000
M3000_R0-2.root  ; 4.27000  ; 50000
M3000_R0-3.root  ; 4.096000  ; 50000
M3000_R0-4.root  ; 3.806000  ; 50000
M3000_R0-5.root  ; 3.369000  ; 50000
M3000_R0-6.root  ; 2.695000  ; 50000
M3000_R0-7.root  ; 1.783000  ; 50000
M3000_R0-9.root  ; .1346000  ; 50000
M3500_R0-06.root  ; 1.341000  ; 50000
M3500_R0-08.root  ; 1.387000  ; 50000
M3500_R0-1.root  ; 1.397000  ; 50000
M3500_R0-2.root  ; 1.375000  ; 50000
M3500_R0-3.root  ; 1.316000  ; 50000
M3500_R0-4.root  ; 1.222000  ; 50000
M3500_R0-5.root  ; 1.081000  ; 50000
M3500_R0-6.root  ; .8644000  ; 50000
M3500_R0-7.root  ; .5713000  ; 50000
