# root file_name                                               ; Theory_XS fb;  Event_Number
ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1.root   ;  3680.     ; 999175
ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1.root  ;  80950.   ;  38769239
ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1.root  ;  136020.  ; 67168870
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root   ;  35600.  ; 6923936
ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1.root   ;  35600.  ; 6943339
TT_TuneCUETP8M2T4_13TeV-powheg-pythia8.root  ; 831760.  ; 74928529
WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 1345000. ; 39576355
WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 359700. ; 4944375
WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 48910. ; 5788701
WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ; 12050. ; 14888039
WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root ; 5501.  ; 1542254
WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root; 1329. ; 244073
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root   ; 32.16 ; 2378741
WWToLNuQQ_13TeV-powheg.root   ;  49997.  ; 1996956
WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8.root   ; 10710. ; 24192132
ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8.root   ; 3220.  ; 15031633
ttWJets_13TeV_madgraphMLM.root  ;  204.3  ;  6972048
ttZJets_13TeV_madgraphMLM-pythia8.root  ;  652.9  ;  9874825
WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root  ;  208.6  ;  240000
WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root  ;  165.1  ;  250000
WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root  ;  55.65  ;  246800
ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8.root  ;  13.98  ;  249237
QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;  27990000000;57252469 
QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;  1717000000;57252469 
QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;    351300000;40145710
QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;  31630000;47277377 
QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;    6802000;41182569
QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;   1206000;11815742
QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;   120400  ; 15105880
QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root  ;    25250;40473601
